原始通道	源	目标	物品	计划件每tick	源配方	目标配方
C215	仓库出矿口	M069	蓝铁矿	1		精炼-蓝铁矿
C216	仓库出矿口	M070	蓝铁矿	1		精炼-蓝铁矿
C217	仓库出矿口	M071	蓝铁矿	1		精炼-蓝铁矿
C218	仓库出矿口	M072	蓝铁矿	1		精炼-蓝铁矿
C219	仓库出矿口	M073	蓝铁矿	1		精炼-蓝铁矿
C220	仓库出矿口	M074	蓝铁矿	1		精炼-蓝铁矿
C221	仓库出矿口	M075	蓝铁矿	1		精炼-蓝铁矿
C222	仓库出矿口	M076	蓝铁矿	1		精炼-蓝铁矿
C223	仓库出矿口	M077	蓝铁矿	1		精炼-蓝铁矿
C224	仓库出矿口	M078	蓝铁矿	1		精炼-蓝铁矿
C225	仓库出矿口	M079	蓝铁矿	1		精炼-蓝铁矿
C226	仓库出矿口	M080	蓝铁矿	1		精炼-蓝铁矿
C227	仓库出矿口	M081	蓝铁矿	1		精炼-蓝铁矿
C228	仓库出矿口	M082	蓝铁矿	1		精炼-蓝铁矿
C229	仓库出矿口	M083	蓝铁矿	1		精炼-蓝铁矿
C230	仓库出矿口	M084	蓝铁矿	1		精炼-蓝铁矿
C231	仓库出矿口	M085	蓝铁矿	1		精炼-蓝铁矿
C232	仓库出矿口	M086	蓝铁矿	1		精炼-蓝铁矿
C233	仓库出矿口	M087	蓝铁矿	1		精炼-蓝铁矿
C234	仓库出矿口	M088	蓝铁矿	1		精炼-蓝铁矿
C235	仓库出矿口	M089	蓝铁矿	1		精炼-蓝铁矿
C236	仓库出矿口	M090	蓝铁矿	1		精炼-蓝铁矿
C237	仓库出矿口	M091	蓝铁矿	1		精炼-蓝铁矿
C238	仓库出矿口	M092	蓝铁矿	1		精炼-蓝铁矿
C239	仓库出矿口	M093	蓝铁矿	1		精炼-蓝铁矿
C240	仓库出矿口	M094	蓝铁矿	1		精炼-蓝铁矿
C241	仓库出矿口	M095	蓝铁矿	1		精炼-蓝铁矿
C242	仓库出矿口	M096	蓝铁矿	1		精炼-蓝铁矿
C243	仓库出矿口	M097	蓝铁矿	1		精炼-蓝铁矿
C244	仓库出矿口	M098	蓝铁矿	1		精炼-蓝铁矿
C245	仓库出矿口	M099	蓝铁矿	1		精炼-蓝铁矿
C246	仓库出矿口	M100	蓝铁矿	1		精炼-蓝铁矿
C247	仓库出矿口	M101	蓝铁矿	1		精炼-蓝铁矿
C248	仓库出矿口	M102	蓝铁矿	1		精炼-蓝铁矿
C249	M018	M120	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C250	M019	M121	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C251	M020	M122	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C252	M021	M123	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C253	M022	M124	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C254	M023	M125	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C255	M024	M126	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C256	M025	M127	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C257	M026	M128	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C258	M027	M129	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C259	M028	M130	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C260	M029	M131	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C261	M030	M132	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C262	M031	M133	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C263	M032	M134	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C264	M033	M135	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C265	M034	M136	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C266	M035	M136	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C267	M036	M135	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C268	M037	M134	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C269	M038	M133	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C270	M039	M132	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C271	M040	M131	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C272	M041	M130	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C273	M042	M129	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C274	M043	M128	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C275	M044	M127	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C276	M045	M126	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C277	M046	M125	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C278	M047	M124	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C279	M048	M123	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C280	M049	M122	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C281	M050	M121	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C282	M051	M120	蓝铁粉末	1	粉碎-蓝铁块	研磨-致密蓝铁
C283	M158	M213	钢制零件	1	配件-钢制零件	封装-电池
C284	M159	M214	钢制零件	1	配件-钢制零件	封装-电池
C285	M160	M215	钢制零件	1	配件-钢制零件	封装-电池
C286	M161	M215	钢制零件	1	配件-钢制零件	封装-电池
C287	M162	M214	钢制零件	1	配件-钢制零件	封装-电池
C288	M163	M213	钢制零件	1	配件-钢制零件	封装-电池
C289	M103	M152	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C290	M104	M153	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C291	M105	M154	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C292	M106	M155	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C293	M107	M156	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C294	M108	M156	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C295	M109	M155	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C296	M110	M154	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C297	M111	M153	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C298	M112	M152	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C299	M113	M157	钢块	1	精炼-致密蓝铁	塑形-钢质瓶
C300	M114	M158	钢块	1	精炼-致密蓝铁	配件-钢制零件
C301	M115	M159	钢块	1	精炼-致密蓝铁	配件-钢制零件
C302	M116	M160	钢块	1	精炼-致密蓝铁	配件-钢制零件
C303	M117	M161	钢块	1	精炼-致密蓝铁	配件-钢制零件
C304	M118	M162	钢块	1	精炼-致密蓝铁	配件-钢制零件
C305	M119	M163	钢块	1	精炼-致密蓝铁	配件-钢制零件
C306	M152	M216	钢质瓶	1	塑形-钢质瓶	灌装-胶囊
C307	M153	M217	钢质瓶	1	塑形-钢质瓶	灌装-胶囊
C308	M154	M218	钢质瓶	1	塑形-钢质瓶	灌装-胶囊
C309	M155	M217	钢质瓶	1	塑形-钢质瓶	灌装-胶囊
C310	M156	M216	钢质瓶	1	塑形-钢质瓶	灌装-胶囊
C311	M157	M218	钢质瓶	1/2	塑形-钢质瓶	灌装-胶囊
C312	M213	协议核心	高容谷地电池	1/5	封装-电池	
C313	M214	协议核心	高容谷地电池	1/5	封装-电池	
C314	M215	协议核心	高容谷地电池	1/5	封装-电池	
