机器	配方	计划批每tick	配方用量	计划进料件每tick	归一化批每tick	进料各端口	每tick实际到达构成	多料同步	同源标记
M130	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C089:砂叶粉末=1(M061); C259:蓝铁粉末=1(M028); C272:蓝铁粉末=1(M041)	待验	待验	待验
M131	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C090:砂叶粉末=1(M061); C260:蓝铁粉末=1(M029); C271:蓝铁粉末=1(M040)	待验	待验	待验
M132	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C091:砂叶粉末=1(M062); C261:蓝铁粉末=1(M030); C270:蓝铁粉末=1(M039)	待验	待验	待验
M133	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C092:砂叶粉末=1(M062); C262:蓝铁粉末=1(M031); C269:蓝铁粉末=1(M038)	待验	待验	待验
M134	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C093:砂叶粉末=1(M062); C263:蓝铁粉末=1(M032); C268:蓝铁粉末=1(M037)	待验	待验	待验
M135	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C094:砂叶粉末=1(M063); C264:蓝铁粉末=1(M033); C267:蓝铁粉末=1(M036)	待验	待验	待验
M136	研磨-致密蓝铁	1	"{""蓝铁粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""蓝铁粉末"": ""2""}"	"{""蓝铁粉末"": ""1"", ""砂叶粉末"": ""1""}"	C095:砂叶粉末=1(M063); C265:蓝铁粉末=1(M034); C266:蓝铁粉末=1(M035)	待验	待验	待验
M137	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C000:源石粉末=1(M000); C017:源石粉末=1(M017); C096:砂叶粉末=1(M063)	待验	待验	待验
M138	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C001:源石粉末=1(M001); C016:源石粉末=1(M016); C097:砂叶粉末=1(M064)	待验	待验	待验
M139	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C002:源石粉末=1(M002); C015:源石粉末=1(M015); C098:砂叶粉末=1(M064)	待验	待验	待验
M140	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C003:源石粉末=1(M003); C014:源石粉末=1(M014); C099:砂叶粉末=1(M064)	待验	待验	待验
M141	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C004:源石粉末=1(M004); C013:源石粉末=1(M013); C100:砂叶粉末=1(M065)	待验	待验	待验
M142	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C005:源石粉末=1(M005); C012:源石粉末=1(M012); C101:砂叶粉末=1(M065)	待验	待验	待验
M143	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C006:源石粉末=1(M006); C011:源石粉末=1(M011); C102:砂叶粉末=1(M065)	待验	待验	待验
M144	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C007:源石粉末=1(M007); C010:源石粉末=1(M010); C103:砂叶粉末=1(M066)	待验	待验	待验
M145	研磨-致密源石	1	"{""源石粉末"": 2, ""砂叶粉末"": 1}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""1"", ""砂叶粉末"": ""1""}"	C008:源石粉末=1(M008); C009:源石粉末=1(M009); C104:砂叶粉末=1(M066)	待验	待验	待验
M146	研磨-细磨荞花	1	"{""荞花粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""荞花粉末"": ""2""}"	"{""荞花粉末"": ""1"", ""砂叶粉末"": ""1""}"	C105:砂叶粉末=1(M066); C170:荞花粉末=1(M052); C179:荞花粉末=1(M056)	待验	待验	待验
M147	研磨-细磨荞花	1	"{""荞花粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""荞花粉末"": ""2""}"	"{""荞花粉末"": ""1"", ""砂叶粉末"": ""1""}"	C106:砂叶粉末=1(M067); C171:荞花粉末=1(M052); C178:荞花粉末=1(M056)	待验	待验	待验
M148	研磨-细磨荞花	1	"{""荞花粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""荞花粉末"": ""2""}"	"{""荞花粉末"": ""1"", ""砂叶粉末"": ""1""}"	C107:砂叶粉末=1(M067); C172:荞花粉末=1(M053); C177:荞花粉末=1(M055)	待验	待验	待验
M149	研磨-细磨荞花	1	"{""荞花粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""荞花粉末"": ""2""}"	"{""荞花粉末"": ""1"", ""砂叶粉末"": ""1""}"	C108:砂叶粉末=1(M067); C173:荞花粉末=1(M053); C176:荞花粉末=1(M055)	待验	待验	待验
M150	研磨-细磨荞花	1	"{""荞花粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1"", ""荞花粉末"": ""2""}"	"{""荞花粉末"": ""1"", ""砂叶粉末"": ""1""}"	C109:砂叶粉末=1/2(M068); C110:砂叶粉末=1/2(M068); C174:荞花粉末=1(M054); C175:荞花粉末=1(M054)	待验	待验	待验
M151	研磨-细磨荞花	1/2	"{""荞花粉末"": 2, ""砂叶粉末"": 1}"	"{""砂叶粉末"": ""1/2"", ""荞花粉末"": ""1""}"	"{""荞花粉末"": ""1/2"", ""砂叶粉末"": ""1/2""}"	C111:砂叶粉末=1/2(M068); C180:荞花粉末=1(M057)	待验	待验	待验
M213	封装-电池	1/5	"{""钢制零件"": 10, ""致密源石粉末"": 15}"	"{""致密源石粉末"": ""3"", ""钢制零件"": ""2""}"	"{""钢制零件"": ""1/5"", ""致密源石粉末"": ""1/5""}"	C121:致密源石粉末=1(M137); C126:致密源石粉末=1(M142); C127:致密源石粉末=1(M143); C283:钢制零件=1(M158); C288:钢制零件=1(M163)	待验	待验	待验
M214	封装-电池	1/5	"{""钢制零件"": 10, ""致密源石粉末"": 15}"	"{""致密源石粉末"": ""3"", ""钢制零件"": ""2""}"	"{""钢制零件"": ""1/5"", ""致密源石粉末"": ""1/5""}"	C122:致密源石粉末=1(M138); C125:致密源石粉末=1(M141); C128:致密源石粉末=1(M144); C284:钢制零件=1(M159); C287:钢制零件=1(M162)	待验	待验	待验
M215	封装-电池	1/5	"{""钢制零件"": 10, ""致密源石粉末"": 15}"	"{""致密源石粉末"": ""3"", ""钢制零件"": ""2""}"	"{""钢制零件"": ""1/5"", ""致密源石粉末"": ""1/5""}"	C123:致密源石粉末=1(M139); C124:致密源石粉末=1(M140); C129:致密源石粉末=1(M145); C285:钢制零件=1(M160); C286:钢制零件=1(M161)	待验	待验	待验
M216	灌装-胶囊	1/5	"{""钢质瓶"": 10, ""细磨荞花粉末"": 10}"	"{""细磨荞花粉末"": ""2"", ""钢质瓶"": ""2""}"	"{""钢质瓶"": ""1/5"", ""细磨荞花粉末"": ""1/5""}"	C115:细磨荞花粉末=1(M146); C119:细磨荞花粉末=1(M150); C306:钢质瓶=1(M152); C310:钢质瓶=1(M156)	待验	待验	待验
M217	灌装-胶囊	1/5	"{""钢质瓶"": 10, ""细磨荞花粉末"": 10}"	"{""细磨荞花粉末"": ""2"", ""钢质瓶"": ""2""}"	"{""钢质瓶"": ""1/5"", ""细磨荞花粉末"": ""1/5""}"	C116:细磨荞花粉末=1(M147); C118:细磨荞花粉末=1(M149); C307:钢质瓶=1(M153); C309:钢质瓶=1(M155)	待验	待验	待验
M218	灌装-胶囊	3/20	"{""钢质瓶"": 10, ""细磨荞花粉末"": 10}"	"{""细磨荞花粉末"": ""3/2"", ""钢质瓶"": ""3/2""}"	"{""钢质瓶"": ""3/20"", ""细磨荞花粉末"": ""3/20""}"	C117:细磨荞花粉末=1(M148); C120:细磨荞花粉末=1/2(M151); C308:钢质瓶=1(M154); C311:钢质瓶=1/2(M157)	待验	待验	待验
