机器	原始行	机型	配方	规则行	计划批次每tick	制造占时	面积	存通道数	取通道数	投入每tick	产出每tick	各存口速率	各取口速率
M017	19	粉碎机	粉碎-源矿	81	1	1	9	1	1	"{""源矿"": ""1""}"	"{""源石粉末"": ""1""}"	"[""1""]"	"[""1""]"
M018	20	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M019	21	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M020	22	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M021	23	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M022	24	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M023	25	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M024	26	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M025	27	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M026	28	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M027	29	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M028	30	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M029	31	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M030	32	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M031	33	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M032	34	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M033	35	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M034	36	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M035	37	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M036	38	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M037	39	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M038	40	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M039	41	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M040	42	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M041	43	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M042	44	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M043	45	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M044	46	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M045	47	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M046	48	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M047	49	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M048	50	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M049	51	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M050	52	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M051	53	粉碎机	粉碎-蓝铁块	82	1	1	9	1	1	"{""蓝铁块"": ""1""}"	"{""蓝铁粉末"": ""1""}"	"[""1""]"	"[""1""]"
M052	54	粉碎机	粉碎-荞花	83	1	1	9	1	2	"{""荞花"": ""1""}"	"{""荞花粉末"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M053	55	粉碎机	粉碎-荞花	83	1	1	9	1	2	"{""荞花"": ""1""}"	"{""荞花粉末"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M054	56	粉碎机	粉碎-荞花	83	1	1	9	1	2	"{""荞花"": ""1""}"	"{""荞花粉末"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M055	57	粉碎机	粉碎-荞花	83	1	1	9	1	2	"{""荞花"": ""1""}"	"{""荞花粉末"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M056	58	粉碎机	粉碎-荞花	83	1	1	9	1	2	"{""荞花"": ""1""}"	"{""荞花粉末"": ""2""}"	"[""1""]"	"[""1"", ""1""]"
M057	59	粉碎机	粉碎-荞花	83	1/2	1/2	9	1	1	"{""荞花"": ""1/2""}"	"{""荞花粉末"": ""1""}"	"[""1/2""]"	"[""1""]"
M058	60	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M059	61	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M060	62	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M061	63	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M062	64	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M063	65	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M064	66	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M065	67	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M066	68	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M067	69	粉碎机	粉碎-砂叶	84	1	1	9	1	3	"{""砂叶"": ""1""}"	"{""砂叶粉末"": ""3""}"	"[""1""]"	"[""1"", ""1"", ""1""]"
M068	70	粉碎机	粉碎-砂叶	84	1/2	1/2	9	1	3	"{""砂叶"": ""1/2""}"	"{""砂叶粉末"": ""3/2""}"	"[""1/2""]"	"[""1/2"", ""1/2"", ""1/2""]"
M069	71	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M070	72	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M071	73	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M072	74	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M073	75	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M074	76	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M075	77	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M076	78	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M077	79	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M078	80	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M079	81	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M080	82	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M081	83	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M082	84	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M083	85	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M084	86	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M085	87	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M086	88	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M087	89	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M088	90	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M089	91	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M090	92	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M091	93	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M092	94	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M093	95	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M094	96	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M095	97	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M096	98	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M097	99	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M098	100	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M099	101	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M100	102	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M101	103	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M102	104	精炼炉	精炼-蓝铁矿	87	1	1	9	1	1	"{""蓝铁矿"": ""1""}"	"{""蓝铁块"": ""1""}"	"[""1""]"	"[""1""]"
M103	105	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M104	106	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M105	107	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M106	108	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M107	109	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M108	110	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M109	111	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M110	112	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M111	113	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M112	114	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M113	115	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M114	116	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M115	117	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M116	118	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M117	119	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M118	120	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M119	121	精炼炉	精炼-致密蓝铁	88	1	1	9	1	1	"{""致密蓝铁粉末"": ""1""}"	"{""钢块"": ""1""}"	"[""1""]"	"[""1""]"
M120	122	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M121	123	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M122	124	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M123	125	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M124	126	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M125	127	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M126	128	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M127	129	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M128	130	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M129	131	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M130	132	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M131	133	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M132	134	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M133	135	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M134	136	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M135	137	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M136	138	研磨机	研磨-致密蓝铁	92	1	1	24	3	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密蓝铁粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M137	139	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M138	140	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M139	141	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M140	142	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M141	143	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M142	144	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M143	145	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M144	146	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M145	147	研磨机	研磨-致密源石	93	1	1	24	3	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""致密源石粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M146	148	研磨机	研磨-细磨荞花	94	1	1	24	3	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""细磨荞花粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M147	149	研磨机	研磨-细磨荞花	94	1	1	24	3	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""细磨荞花粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
M148	150	研磨机	研磨-细磨荞花	94	1	1	24	3	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""细磨荞花粉末"": ""1""}"	"[""1"", ""1"", ""1""]"	"[""1""]"
