通道	原始行	源	目标	物品	计划每tick
C103	105	M066	M144	砂叶粉末	1
C104	106	M066	M145	砂叶粉末	1
C105	107	M066	M146	砂叶粉末	1
C106	108	M067	M147	砂叶粉末	1
C107	109	M067	M148	砂叶粉末	1
C108	110	M067	M149	砂叶粉末	1
C109	111	M068	M150	砂叶粉末	1/2
C110	112	M068	M150	砂叶粉末	1/2
C111	113	M068	M151	砂叶粉末	1/2
C112	114	M216	协议核心	精选荞愈胶囊	1/5
C113	115	M217	协议核心	精选荞愈胶囊	1/5
C114	116	M218	协议核心	精选荞愈胶囊	3/20
C115	117	M146	M216	细磨荞花粉末	1
C116	118	M147	M217	细磨荞花粉末	1
C117	119	M148	M218	细磨荞花粉末	1
C118	120	M149	M217	细磨荞花粉末	1
C119	121	M150	M216	细磨荞花粉末	1
C120	122	M151	M218	细磨荞花粉末	1/2
C121	123	M137	M213	致密源石粉末	1
C122	124	M138	M214	致密源石粉末	1
C123	125	M139	M215	致密源石粉末	1
C124	126	M140	M215	致密源石粉末	1
C125	127	M141	M214	致密源石粉末	1
C126	128	M142	M213	致密源石粉末	1
C127	129	M143	M213	致密源石粉末	1
C128	130	M144	M214	致密源石粉末	1
C129	131	M145	M215	致密源石粉末	1
C130	132	M120	M103	致密蓝铁粉末	1
C131	133	M121	M104	致密蓝铁粉末	1
C132	134	M122	M105	致密蓝铁粉末	1
C133	135	M123	M106	致密蓝铁粉末	1
C134	136	M124	M107	致密蓝铁粉末	1
C135	137	M125	M108	致密蓝铁粉末	1
C136	138	M126	M109	致密蓝铁粉末	1
C137	139	M127	M110	致密蓝铁粉末	1
C138	140	M128	M111	致密蓝铁粉末	1
C139	141	M129	M112	致密蓝铁粉末	1
C140	142	M130	M113	致密蓝铁粉末	1
C141	143	M131	M114	致密蓝铁粉末	1
C142	144	M132	M115	致密蓝铁粉末	1
C143	145	M133	M116	致密蓝铁粉末	1
C144	146	M134	M117	致密蓝铁粉末	1
C145	147	M135	M118	致密蓝铁粉末	1
C146	148	M136	M119	致密蓝铁粉末	1
C147	149	M164	M052	荞花	1
C148	150	M165	M053	荞花	1
C149	151	M166	M054	荞花	1
C150	152	M167	M055	荞花	1
C151	153	M168	M056	荞花	1
C152	154	M169	M196	荞花	1
C153	155	M170	M197	荞花	1
C154	156	M171	M198	荞花	1
C155	157	M172	M199	荞花	1
C156	158	M173	M200	荞花	1
C157	159	M174	M057	荞花	1/2
C158	160	M174	M201	荞花	1/2
C159	161	M196	M164	荞花种子	1
C160	162	M196	M165	荞花种子	1
C161	163	M197	M166	荞花种子	1
C162	164	M197	M167	荞花种子	1
C163	165	M198	M168	荞花种子	1
C164	166	M198	M169	荞花种子	1
C165	167	M199	M170	荞花种子	1
C166	168	M199	M171	荞花种子	1
C167	169	M200	M172	荞花种子	1
C168	170	M200	M173	荞花种子	1
C169	171	M201	M174	荞花种子	1
C170	172	M052	M146	荞花粉末	1
C171	173	M052	M147	荞花粉末	1
C172	174	M053	M148	荞花粉末	1
C173	175	M053	M149	荞花粉末	1
C174	176	M054	M150	荞花粉末	1
C175	177	M054	M150	荞花粉末	1
C176	178	M055	M149	荞花粉末	1
C177	179	M055	M148	荞花粉末	1
C178	180	M056	M147	荞花粉末	1
C179	181	M056	M146	荞花粉末	1
C180	182	M057	M151	荞花粉末	1
C181	183	M069	M018	蓝铁块	1
C182	184	M070	M019	蓝铁块	1
C183	185	M071	M020	蓝铁块	1
C184	186	M072	M021	蓝铁块	1
C185	187	M073	M022	蓝铁块	1
C186	188	M074	M023	蓝铁块	1
C187	189	M075	M024	蓝铁块	1
C188	190	M076	M025	蓝铁块	1
C189	191	M077	M026	蓝铁块	1
C190	192	M078	M027	蓝铁块	1
C191	193	M079	M028	蓝铁块	1
C192	194	M080	M029	蓝铁块	1
C193	195	M081	M030	蓝铁块	1
C194	196	M082	M031	蓝铁块	1
C195	197	M083	M032	蓝铁块	1
C196	198	M084	M033	蓝铁块	1
C197	199	M085	M034	蓝铁块	1
C198	200	M086	M035	蓝铁块	1
C199	201	M087	M036	蓝铁块	1
C200	202	M088	M037	蓝铁块	1
C201	203	M089	M038	蓝铁块	1
C202	204	M090	M039	蓝铁块	1
C203	205	M091	M040	蓝铁块	1
C204	206	M092	M041	蓝铁块	1
C205	207	M093	M042	蓝铁块	1
C206	208	M094	M043	蓝铁块	1
C207	209	M095	M044	蓝铁块	1
C208	210	M096	M045	蓝铁块	1
C209	211	M097	M046	蓝铁块	1
C210	212	M098	M047	蓝铁块	1
C211	213	M099	M048	蓝铁块	1
C212	214	M100	M049	蓝铁块	1
C213	215	M101	M050	蓝铁块	1
C214	216	M102	M051	蓝铁块	1
C215	217	仓库出矿口	M069	蓝铁矿	1
C216	218	仓库出矿口	M070	蓝铁矿	1
C217	219	仓库出矿口	M071	蓝铁矿	1
C218	220	仓库出矿口	M072	蓝铁矿	1
C219	221	仓库出矿口	M073	蓝铁矿	1
C220	222	仓库出矿口	M074	蓝铁矿	1
C221	223	仓库出矿口	M075	蓝铁矿	1
C222	224	仓库出矿口	M076	蓝铁矿	1
C223	225	仓库出矿口	M077	蓝铁矿	1
C224	226	仓库出矿口	M078	蓝铁矿	1
C225	227	仓库出矿口	M079	蓝铁矿	1
C226	228	仓库出矿口	M080	蓝铁矿	1
C227	229	仓库出矿口	M081	蓝铁矿	1
C228	230	仓库出矿口	M082	蓝铁矿	1
C229	231	仓库出矿口	M083	蓝铁矿	1
C230	232	仓库出矿口	M084	蓝铁矿	1
C231	233	仓库出矿口	M085	蓝铁矿	1
C232	234	仓库出矿口	M086	蓝铁矿	1
C233	235	仓库出矿口	M087	蓝铁矿	1
C234	236	仓库出矿口	M088	蓝铁矿	1
C235	237	仓库出矿口	M089	蓝铁矿	1
C236	238	仓库出矿口	M090	蓝铁矿	1
C237	239	仓库出矿口	M091	蓝铁矿	1
C238	240	仓库出矿口	M092	蓝铁矿	1
C239	241	仓库出矿口	M093	蓝铁矿	1
C240	242	仓库出矿口	M094	蓝铁矿	1
C241	243	仓库出矿口	M095	蓝铁矿	1
C242	244	仓库出矿口	M096	蓝铁矿	1
C243	245	仓库出矿口	M097	蓝铁矿	1
C244	246	仓库出矿口	M098	蓝铁矿	1
C245	247	仓库出矿口	M099	蓝铁矿	1
C246	248	仓库出矿口	M100	蓝铁矿	1
C247	249	仓库出矿口	M101	蓝铁矿	1
C248	250	仓库出矿口	M102	蓝铁矿	1
C249	251	M018	M120	蓝铁粉末	1
C250	252	M019	M121	蓝铁粉末	1
C251	253	M020	M122	蓝铁粉末	1
C252	254	M021	M123	蓝铁粉末	1
C253	255	M022	M124	蓝铁粉末	1
C254	256	M023	M125	蓝铁粉末	1
C255	257	M024	M126	蓝铁粉末	1
C256	258	M025	M127	蓝铁粉末	1
C257	259	M026	M128	蓝铁粉末	1
C258	260	M027	M129	蓝铁粉末	1
C259	261	M028	M130	蓝铁粉末	1
C260	262	M029	M131	蓝铁粉末	1
C261	263	M030	M132	蓝铁粉末	1
C262	264	M031	M133	蓝铁粉末	1
C263	265	M032	M134	蓝铁粉末	1
C264	266	M033	M135	蓝铁粉末	1
C265	267	M034	M136	蓝铁粉末	1
C266	268	M035	M136	蓝铁粉末	1
C267	269	M036	M135	蓝铁粉末	1
C268	270	M037	M134	蓝铁粉末	1
C269	271	M038	M133	蓝铁粉末	1
C270	272	M039	M132	蓝铁粉末	1
C271	273	M040	M131	蓝铁粉末	1
C272	274	M041	M130	蓝铁粉末	1
C273	275	M042	M129	蓝铁粉末	1
C274	276	M043	M128	蓝铁粉末	1
C275	277	M044	M127	蓝铁粉末	1
C276	278	M045	M126	蓝铁粉末	1
C277	279	M046	M125	蓝铁粉末	1
C278	280	M047	M124	蓝铁粉末	1
C279	281	M048	M123	蓝铁粉末	1
C280	282	M049	M122	蓝铁粉末	1
C281	283	M050	M121	蓝铁粉末	1
C282	284	M051	M120	蓝铁粉末	1
C283	285	M158	M213	钢制零件	1
C284	286	M159	M214	钢制零件	1
C285	287	M160	M215	钢制零件	1
C286	288	M161	M215	钢制零件	1
C287	289	M162	M214	钢制零件	1
C288	290	M163	M213	钢制零件	1
C289	291	M103	M152	钢块	1
C290	292	M104	M153	钢块	1
C291	293	M105	M154	钢块	1
C292	294	M106	M155	钢块	1
C293	295	M107	M156	钢块	1
C294	296	M108	M156	钢块	1
C295	297	M109	M155	钢块	1
C296	298	M110	M154	钢块	1
C297	299	M111	M153	钢块	1
C298	300	M112	M152	钢块	1
C299	301	M113	M157	钢块	1
C300	302	M114	M158	钢块	1
C301	303	M115	M159	钢块	1
C302	304	M116	M160	钢块	1
C303	305	M117	M161	钢块	1
C304	306	M118	M162	钢块	1
C305	307	M119	M163	钢块	1
C306	308	M152	M216	钢质瓶	1
C307	309	M153	M217	钢质瓶	1
C308	310	M154	M218	钢质瓶	1
C309	311	M155	M217	钢质瓶	1
C310	312	M156	M216	钢质瓶	1
C311	313	M157	M218	钢质瓶	1/2
C312	314	M213	协议核心	高容谷地电池	1/5
C313	315	M214	协议核心	高容谷地电池	1/5
C314	316	M215	协议核心	高容谷地电池	1/5
