机器	配方	计划批次每tick	每批用量	计划平均进料每tick	各存口	源机器集合	逐tick实际构成	多料同步	同源运行标记
M130	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C089"", ""原始行"": 91, ""源"": ""M061"", ""目标"": ""M130"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C259"", ""原始行"": 261, ""源"": ""M028"", ""目标"": ""M130"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C272"", ""原始行"": 274, ""源"": ""M041"", ""目标"": ""M130"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M028"", ""M041"", ""M061""]"	待验	待验	待验
M131	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C090"", ""原始行"": 92, ""源"": ""M061"", ""目标"": ""M131"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C260"", ""原始行"": 262, ""源"": ""M029"", ""目标"": ""M131"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C271"", ""原始行"": 273, ""源"": ""M040"", ""目标"": ""M131"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M029"", ""M040"", ""M061""]"	待验	待验	待验
M132	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C091"", ""原始行"": 93, ""源"": ""M062"", ""目标"": ""M132"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C261"", ""原始行"": 263, ""源"": ""M030"", ""目标"": ""M132"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C270"", ""原始行"": 272, ""源"": ""M039"", ""目标"": ""M132"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M030"", ""M039"", ""M062""]"	待验	待验	待验
M133	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C092"", ""原始行"": 94, ""源"": ""M062"", ""目标"": ""M133"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C262"", ""原始行"": 264, ""源"": ""M031"", ""目标"": ""M133"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C269"", ""原始行"": 271, ""源"": ""M038"", ""目标"": ""M133"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M031"", ""M038"", ""M062""]"	待验	待验	待验
M134	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C093"", ""原始行"": 95, ""源"": ""M062"", ""目标"": ""M134"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C263"", ""原始行"": 265, ""源"": ""M032"", ""目标"": ""M134"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C268"", ""原始行"": 270, ""源"": ""M037"", ""目标"": ""M134"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M032"", ""M037"", ""M062""]"	待验	待验	待验
M135	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C094"", ""原始行"": 96, ""源"": ""M063"", ""目标"": ""M135"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C264"", ""原始行"": 266, ""源"": ""M033"", ""目标"": ""M135"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C267"", ""原始行"": 269, ""源"": ""M036"", ""目标"": ""M135"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M033"", ""M036"", ""M063""]"	待验	待验	待验
M136	研磨-致密蓝铁	1	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""蓝铁粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C095"", ""原始行"": 97, ""源"": ""M063"", ""目标"": ""M136"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C265"", ""原始行"": 267, ""源"": ""M034"", ""目标"": ""M136"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}, {""通道"": ""C266"", ""原始行"": 268, ""源"": ""M035"", ""目标"": ""M136"", ""物品"": ""蓝铁粉末"", ""计划每tick"": ""1""}]"	"[""M034"", ""M035"", ""M063""]"	待验	待验	待验
M137	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C000"", ""原始行"": 2, ""源"": ""M000"", ""目标"": ""M137"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C017"", ""原始行"": 19, ""源"": ""M017"", ""目标"": ""M137"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C096"", ""原始行"": 98, ""源"": ""M063"", ""目标"": ""M137"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M000"", ""M017"", ""M063""]"	待验	待验	待验
M138	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C001"", ""原始行"": 3, ""源"": ""M001"", ""目标"": ""M138"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C016"", ""原始行"": 18, ""源"": ""M016"", ""目标"": ""M138"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C097"", ""原始行"": 99, ""源"": ""M064"", ""目标"": ""M138"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M001"", ""M016"", ""M064""]"	待验	待验	待验
M139	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C002"", ""原始行"": 4, ""源"": ""M002"", ""目标"": ""M139"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C015"", ""原始行"": 17, ""源"": ""M015"", ""目标"": ""M139"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C098"", ""原始行"": 100, ""源"": ""M064"", ""目标"": ""M139"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M002"", ""M015"", ""M064""]"	待验	待验	待验
M140	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C003"", ""原始行"": 5, ""源"": ""M003"", ""目标"": ""M140"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C014"", ""原始行"": 16, ""源"": ""M014"", ""目标"": ""M140"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C099"", ""原始行"": 101, ""源"": ""M064"", ""目标"": ""M140"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M003"", ""M014"", ""M064""]"	待验	待验	待验
M141	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C004"", ""原始行"": 6, ""源"": ""M004"", ""目标"": ""M141"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C013"", ""原始行"": 15, ""源"": ""M013"", ""目标"": ""M141"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C100"", ""原始行"": 102, ""源"": ""M065"", ""目标"": ""M141"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M004"", ""M013"", ""M065""]"	待验	待验	待验
M142	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C005"", ""原始行"": 7, ""源"": ""M005"", ""目标"": ""M142"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C012"", ""原始行"": 14, ""源"": ""M012"", ""目标"": ""M142"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C101"", ""原始行"": 103, ""源"": ""M065"", ""目标"": ""M142"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M005"", ""M012"", ""M065""]"	待验	待验	待验
M143	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C006"", ""原始行"": 8, ""源"": ""M006"", ""目标"": ""M143"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C011"", ""原始行"": 13, ""源"": ""M011"", ""目标"": ""M143"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C102"", ""原始行"": 104, ""源"": ""M065"", ""目标"": ""M143"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M006"", ""M011"", ""M065""]"	待验	待验	待验
M144	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C007"", ""原始行"": 9, ""源"": ""M007"", ""目标"": ""M144"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C010"", ""原始行"": 12, ""源"": ""M010"", ""目标"": ""M144"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C103"", ""原始行"": 105, ""源"": ""M066"", ""目标"": ""M144"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M007"", ""M010"", ""M066""]"	待验	待验	待验
M145	研磨-致密源石	1	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""源石粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C008"", ""原始行"": 10, ""源"": ""M008"", ""目标"": ""M145"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C009"", ""原始行"": 11, ""源"": ""M009"", ""目标"": ""M145"", ""物品"": ""源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C104"", ""原始行"": 106, ""源"": ""M066"", ""目标"": ""M145"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}]"	"[""M008"", ""M009"", ""M066""]"	待验	待验	待验
M146	研磨-细磨荞花	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C105"", ""原始行"": 107, ""源"": ""M066"", ""目标"": ""M146"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C170"", ""原始行"": 172, ""源"": ""M052"", ""目标"": ""M146"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C179"", ""原始行"": 181, ""源"": ""M056"", ""目标"": ""M146"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}]"	"[""M052"", ""M056"", ""M066""]"	待验	待验	待验
M147	研磨-细磨荞花	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C106"", ""原始行"": 108, ""源"": ""M067"", ""目标"": ""M147"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C171"", ""原始行"": 173, ""源"": ""M052"", ""目标"": ""M147"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C178"", ""原始行"": 180, ""源"": ""M056"", ""目标"": ""M147"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}]"	"[""M052"", ""M056"", ""M067""]"	待验	待验	待验
M148	研磨-细磨荞花	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C107"", ""原始行"": 109, ""源"": ""M067"", ""目标"": ""M148"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C172"", ""原始行"": 174, ""源"": ""M053"", ""目标"": ""M148"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C177"", ""原始行"": 179, ""源"": ""M055"", ""目标"": ""M148"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}]"	"[""M053"", ""M055"", ""M067""]"	待验	待验	待验
M149	研磨-细磨荞花	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C108"", ""原始行"": 110, ""源"": ""M067"", ""目标"": ""M149"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1""}, {""通道"": ""C173"", ""原始行"": 175, ""源"": ""M053"", ""目标"": ""M149"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C176"", ""原始行"": 178, ""源"": ""M055"", ""目标"": ""M149"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}]"	"[""M053"", ""M055"", ""M067""]"	待验	待验	待验
M150	研磨-细磨荞花	1	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"[{""通道"": ""C109"", ""原始行"": 111, ""源"": ""M068"", ""目标"": ""M150"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1/2""}, {""通道"": ""C110"", ""原始行"": 112, ""源"": ""M068"", ""目标"": ""M150"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1/2""}, {""通道"": ""C174"", ""原始行"": 176, ""源"": ""M054"", ""目标"": ""M150"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C175"", ""原始行"": 177, ""源"": ""M054"", ""目标"": ""M150"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}]"	"[""M054"", ""M068""]"	待验	待验	待验
M151	研磨-细磨荞花	1/2	"{""荞花粉末"": ""2"", ""砂叶粉末"": ""1""}"	"{""荞花粉末"": ""1"", ""砂叶粉末"": ""1/2""}"	"[{""通道"": ""C111"", ""原始行"": 113, ""源"": ""M068"", ""目标"": ""M151"", ""物品"": ""砂叶粉末"", ""计划每tick"": ""1/2""}, {""通道"": ""C180"", ""原始行"": 182, ""源"": ""M057"", ""目标"": ""M151"", ""物品"": ""荞花粉末"", ""计划每tick"": ""1""}]"	"[""M057"", ""M068""]"	待验	待验	待验
M213	封装-电池	1/5	"{""钢制零件"": ""10"", ""致密源石粉末"": ""15""}"	"{""钢制零件"": ""2"", ""致密源石粉末"": ""3""}"	"[{""通道"": ""C121"", ""原始行"": 123, ""源"": ""M137"", ""目标"": ""M213"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C126"", ""原始行"": 128, ""源"": ""M142"", ""目标"": ""M213"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C127"", ""原始行"": 129, ""源"": ""M143"", ""目标"": ""M213"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C283"", ""原始行"": 285, ""源"": ""M158"", ""目标"": ""M213"", ""物品"": ""钢制零件"", ""计划每tick"": ""1""}, {""通道"": ""C288"", ""原始行"": 290, ""源"": ""M163"", ""目标"": ""M213"", ""物品"": ""钢制零件"", ""计划每tick"": ""1""}]"	"[""M137"", ""M142"", ""M143"", ""M158"", ""M163""]"	待验	待验	待验
M214	封装-电池	1/5	"{""钢制零件"": ""10"", ""致密源石粉末"": ""15""}"	"{""钢制零件"": ""2"", ""致密源石粉末"": ""3""}"	"[{""通道"": ""C122"", ""原始行"": 124, ""源"": ""M138"", ""目标"": ""M214"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C125"", ""原始行"": 127, ""源"": ""M141"", ""目标"": ""M214"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C128"", ""原始行"": 130, ""源"": ""M144"", ""目标"": ""M214"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C284"", ""原始行"": 286, ""源"": ""M159"", ""目标"": ""M214"", ""物品"": ""钢制零件"", ""计划每tick"": ""1""}, {""通道"": ""C287"", ""原始行"": 289, ""源"": ""M162"", ""目标"": ""M214"", ""物品"": ""钢制零件"", ""计划每tick"": ""1""}]"	"[""M138"", ""M141"", ""M144"", ""M159"", ""M162""]"	待验	待验	待验
M215	封装-电池	1/5	"{""钢制零件"": ""10"", ""致密源石粉末"": ""15""}"	"{""钢制零件"": ""2"", ""致密源石粉末"": ""3""}"	"[{""通道"": ""C123"", ""原始行"": 125, ""源"": ""M139"", ""目标"": ""M215"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C124"", ""原始行"": 126, ""源"": ""M140"", ""目标"": ""M215"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C129"", ""原始行"": 131, ""源"": ""M145"", ""目标"": ""M215"", ""物品"": ""致密源石粉末"", ""计划每tick"": ""1""}, {""通道"": ""C285"", ""原始行"": 287, ""源"": ""M160"", ""目标"": ""M215"", ""物品"": ""钢制零件"", ""计划每tick"": ""1""}, {""通道"": ""C286"", ""原始行"": 288, ""源"": ""M161"", ""目标"": ""M215"", ""物品"": ""钢制零件"", ""计划每tick"": ""1""}]"	"[""M139"", ""M140"", ""M145"", ""M160"", ""M161""]"	待验	待验	待验
M216	灌装-胶囊	1/5	"{""钢质瓶"": ""10"", ""细磨荞花粉末"": ""10""}"	"{""钢质瓶"": ""2"", ""细磨荞花粉末"": ""2""}"	"[{""通道"": ""C115"", ""原始行"": 117, ""源"": ""M146"", ""目标"": ""M216"", ""物品"": ""细磨荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C119"", ""原始行"": 121, ""源"": ""M150"", ""目标"": ""M216"", ""物品"": ""细磨荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C306"", ""原始行"": 308, ""源"": ""M152"", ""目标"": ""M216"", ""物品"": ""钢质瓶"", ""计划每tick"": ""1""}, {""通道"": ""C310"", ""原始行"": 312, ""源"": ""M156"", ""目标"": ""M216"", ""物品"": ""钢质瓶"", ""计划每tick"": ""1""}]"	"[""M146"", ""M150"", ""M152"", ""M156""]"	待验	待验	待验
M217	灌装-胶囊	1/5	"{""钢质瓶"": ""10"", ""细磨荞花粉末"": ""10""}"	"{""钢质瓶"": ""2"", ""细磨荞花粉末"": ""2""}"	"[{""通道"": ""C116"", ""原始行"": 118, ""源"": ""M147"", ""目标"": ""M217"", ""物品"": ""细磨荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C118"", ""原始行"": 120, ""源"": ""M149"", ""目标"": ""M217"", ""物品"": ""细磨荞花粉末"", ""计划每tick"": ""1""}, {""通道"": ""C307"", ""原始行"": 309, ""源"": ""M153"", ""目标"": ""M217"", ""物品"": ""钢质瓶"", ""计划每tick"": ""1""}, {""通道"": ""C309"", ""原始行"": 311, ""源"": ""M155"", ""目标"": ""M217"", ""物品"": ""钢质瓶"", ""计划每tick"": ""1""}]"	"[""M147"", ""M149"", ""M153"", ""M155""]"	待验	待验	待验
