通道id,源机器id,源机型,源配方,物品,件每20tick,目标机器id,目标机型,目标配方,是否满速
C146,M136,6x4,研磨-致密蓝铁,致密蓝铁粉末,20,M119,3x3,精炼-致密蓝铁,是
C147,M164,5x5,种植-荞花,荞花,20,M052,3x3,粉碎-荞花,是
C148,M165,5x5,种植-荞花,荞花,20,M053,3x3,粉碎-荞花,是
C149,M166,5x5,种植-荞花,荞花,20,M054,3x3,粉碎-荞花,是
C150,M167,5x5,种植-荞花,荞花,20,M055,3x3,粉碎-荞花,是
C151,M168,5x5,种植-荞花,荞花,20,M056,3x3,粉碎-荞花,是
C152,M169,5x5,种植-荞花,荞花,20,M196,5x5,采种-荞花,是
C153,M170,5x5,种植-荞花,荞花,20,M197,5x5,采种-荞花,是
C154,M171,5x5,种植-荞花,荞花,20,M198,5x5,采种-荞花,是
C155,M172,5x5,种植-荞花,荞花,20,M199,5x5,采种-荞花,是
C156,M173,5x5,种植-荞花,荞花,20,M200,5x5,采种-荞花,是
C157,M174,5x5,种植-荞花,荞花,10,M057,3x3,粉碎-荞花,否
C158,M174,5x5,种植-荞花,荞花,10,M201,5x5,采种-荞花,否
C159,M196,5x5,采种-荞花,荞花种子,20,M164,5x5,种植-荞花,是
C160,M196,5x5,采种-荞花,荞花种子,20,M165,5x5,种植-荞花,是
C161,M197,5x5,采种-荞花,荞花种子,20,M166,5x5,种植-荞花,是
C162,M197,5x5,采种-荞花,荞花种子,20,M167,5x5,种植-荞花,是
C163,M198,5x5,采种-荞花,荞花种子,20,M168,5x5,种植-荞花,是
C164,M198,5x5,采种-荞花,荞花种子,20,M169,5x5,种植-荞花,是
C165,M199,5x5,采种-荞花,荞花种子,20,M170,5x5,种植-荞花,是
C166,M199,5x5,采种-荞花,荞花种子,20,M171,5x5,种植-荞花,是
C167,M200,5x5,采种-荞花,荞花种子,20,M172,5x5,种植-荞花,是
C168,M200,5x5,采种-荞花,荞花种子,20,M173,5x5,种植-荞花,是
C169,M201,5x5,采种-荞花,荞花种子,20,M174,5x5,种植-荞花,是
C170,M052,3x3,粉碎-荞花,荞花粉末,20,M146,6x4,研磨-细磨荞花,是
C171,M052,3x3,粉碎-荞花,荞花粉末,20,M147,6x4,研磨-细磨荞花,是
C172,M053,3x3,粉碎-荞花,荞花粉末,20,M148,6x4,研磨-细磨荞花,是
C173,M053,3x3,粉碎-荞花,荞花粉末,20,M149,6x4,研磨-细磨荞花,是
C174,M054,3x3,粉碎-荞花,荞花粉末,20,M150,6x4,研磨-细磨荞花,是
C175,M054,3x3,粉碎-荞花,荞花粉末,20,M150,6x4,研磨-细磨荞花,是
C176,M055,3x3,粉碎-荞花,荞花粉末,20,M149,6x4,研磨-细磨荞花,是
C177,M055,3x3,粉碎-荞花,荞花粉末,20,M148,6x4,研磨-细磨荞花,是
C178,M056,3x3,粉碎-荞花,荞花粉末,20,M147,6x4,研磨-细磨荞花,是
C179,M056,3x3,粉碎-荞花,荞花粉末,20,M146,6x4,研磨-细磨荞花,是
C180,M057,3x3,粉碎-荞花,荞花粉末,20,M151,6x4,研磨-细磨荞花,是
C181,M069,3x3,精炼-蓝铁矿,蓝铁块,20,M018,3x3,粉碎-蓝铁块,是
C182,M070,3x3,精炼-蓝铁矿,蓝铁块,20,M019,3x3,粉碎-蓝铁块,是
C183,M071,3x3,精炼-蓝铁矿,蓝铁块,20,M020,3x3,粉碎-蓝铁块,是
C184,M072,3x3,精炼-蓝铁矿,蓝铁块,20,M021,3x3,粉碎-蓝铁块,是
C185,M073,3x3,精炼-蓝铁矿,蓝铁块,20,M022,3x3,粉碎-蓝铁块,是
C186,M074,3x3,精炼-蓝铁矿,蓝铁块,20,M023,3x3,粉碎-蓝铁块,是
C187,M075,3x3,精炼-蓝铁矿,蓝铁块,20,M024,3x3,粉碎-蓝铁块,是
C188,M076,3x3,精炼-蓝铁矿,蓝铁块,20,M025,3x3,粉碎-蓝铁块,是
C189,M077,3x3,精炼-蓝铁矿,蓝铁块,20,M026,3x3,粉碎-蓝铁块,是
C190,M078,3x3,精炼-蓝铁矿,蓝铁块,20,M027,3x3,粉碎-蓝铁块,是
C191,M079,3x3,精炼-蓝铁矿,蓝铁块,20,M028,3x3,粉碎-蓝铁块,是
C192,M080,3x3,精炼-蓝铁矿,蓝铁块,20,M029,3x3,粉碎-蓝铁块,是
C193,M081,3x3,精炼-蓝铁矿,蓝铁块,20,M030,3x3,粉碎-蓝铁块,是
C194,M082,3x3,精炼-蓝铁矿,蓝铁块,20,M031,3x3,粉碎-蓝铁块,是
C195,M083,3x3,精炼-蓝铁矿,蓝铁块,20,M032,3x3,粉碎-蓝铁块,是
C196,M084,3x3,精炼-蓝铁矿,蓝铁块,20,M033,3x3,粉碎-蓝铁块,是
C197,M085,3x3,精炼-蓝铁矿,蓝铁块,20,M034,3x3,粉碎-蓝铁块,是
C198,M086,3x3,精炼-蓝铁矿,蓝铁块,20,M035,3x3,粉碎-蓝铁块,是
C199,M087,3x3,精炼-蓝铁矿,蓝铁块,20,M036,3x3,粉碎-蓝铁块,是
C200,M088,3x3,精炼-蓝铁矿,蓝铁块,20,M037,3x3,粉碎-蓝铁块,是
C201,M089,3x3,精炼-蓝铁矿,蓝铁块,20,M038,3x3,粉碎-蓝铁块,是
C202,M090,3x3,精炼-蓝铁矿,蓝铁块,20,M039,3x3,粉碎-蓝铁块,是
C203,M091,3x3,精炼-蓝铁矿,蓝铁块,20,M040,3x3,粉碎-蓝铁块,是
C204,M092,3x3,精炼-蓝铁矿,蓝铁块,20,M041,3x3,粉碎-蓝铁块,是
C205,M093,3x3,精炼-蓝铁矿,蓝铁块,20,M042,3x3,粉碎-蓝铁块,是
C206,M094,3x3,精炼-蓝铁矿,蓝铁块,20,M043,3x3,粉碎-蓝铁块,是
C207,M095,3x3,精炼-蓝铁矿,蓝铁块,20,M044,3x3,粉碎-蓝铁块,是
C208,M096,3x3,精炼-蓝铁矿,蓝铁块,20,M045,3x3,粉碎-蓝铁块,是
C209,M097,3x3,精炼-蓝铁矿,蓝铁块,20,M046,3x3,粉碎-蓝铁块,是
C210,M098,3x3,精炼-蓝铁矿,蓝铁块,20,M047,3x3,粉碎-蓝铁块,是
C211,M099,3x3,精炼-蓝铁矿,蓝铁块,20,M048,3x3,粉碎-蓝铁块,是
C212,M100,3x3,精炼-蓝铁矿,蓝铁块,20,M049,3x3,粉碎-蓝铁块,是
C213,M101,3x3,精炼-蓝铁矿,蓝铁块,20,M050,3x3,粉碎-蓝铁块,是
C214,M102,3x3,精炼-蓝铁矿,蓝铁块,20,M051,3x3,粉碎-蓝铁块,是
C215,仓库出矿口,,,蓝铁矿,20,M069,3x3,精炼-蓝铁矿,是
C216,仓库出矿口,,,蓝铁矿,20,M070,3x3,精炼-蓝铁矿,是
C217,仓库出矿口,,,蓝铁矿,20,M071,3x3,精炼-蓝铁矿,是
C218,仓库出矿口,,,蓝铁矿,20,M072,3x3,精炼-蓝铁矿,是
C219,仓库出矿口,,,蓝铁矿,20,M073,3x3,精炼-蓝铁矿,是
C220,仓库出矿口,,,蓝铁矿,20,M074,3x3,精炼-蓝铁矿,是
C221,仓库出矿口,,,蓝铁矿,20,M075,3x3,精炼-蓝铁矿,是
C222,仓库出矿口,,,蓝铁矿,20,M076,3x3,精炼-蓝铁矿,是
C223,仓库出矿口,,,蓝铁矿,20,M077,3x3,精炼-蓝铁矿,是
C224,仓库出矿口,,,蓝铁矿,20,M078,3x3,精炼-蓝铁矿,是
C225,仓库出矿口,,,蓝铁矿,20,M079,3x3,精炼-蓝铁矿,是
C226,仓库出矿口,,,蓝铁矿,20,M080,3x3,精炼-蓝铁矿,是
C227,仓库出矿口,,,蓝铁矿,20,M081,3x3,精炼-蓝铁矿,是
C228,仓库出矿口,,,蓝铁矿,20,M082,3x3,精炼-蓝铁矿,是
C229,仓库出矿口,,,蓝铁矿,20,M083,3x3,精炼-蓝铁矿,是
C230,仓库出矿口,,,蓝铁矿,20,M084,3x3,精炼-蓝铁矿,是
C231,仓库出矿口,,,蓝铁矿,20,M085,3x3,精炼-蓝铁矿,是
C232,仓库出矿口,,,蓝铁矿,20,M086,3x3,精炼-蓝铁矿,是
C233,仓库出矿口,,,蓝铁矿,20,M087,3x3,精炼-蓝铁矿,是
C234,仓库出矿口,,,蓝铁矿,20,M088,3x3,精炼-蓝铁矿,是
C235,仓库出矿口,,,蓝铁矿,20,M089,3x3,精炼-蓝铁矿,是
C236,仓库出矿口,,,蓝铁矿,20,M090,3x3,精炼-蓝铁矿,是
C237,仓库出矿口,,,蓝铁矿,20,M091,3x3,精炼-蓝铁矿,是
C238,仓库出矿口,,,蓝铁矿,20,M092,3x3,精炼-蓝铁矿,是
C239,仓库出矿口,,,蓝铁矿,20,M093,3x3,精炼-蓝铁矿,是
C240,仓库出矿口,,,蓝铁矿,20,M094,3x3,精炼-蓝铁矿,是
C241,仓库出矿口,,,蓝铁矿,20,M095,3x3,精炼-蓝铁矿,是
C242,仓库出矿口,,,蓝铁矿,20,M096,3x3,精炼-蓝铁矿,是
C243,仓库出矿口,,,蓝铁矿,20,M097,3x3,精炼-蓝铁矿,是
C244,仓库出矿口,,,蓝铁矿,20,M098,3x3,精炼-蓝铁矿,是
C245,仓库出矿口,,,蓝铁矿,20,M099,3x3,精炼-蓝铁矿,是
C246,仓库出矿口,,,蓝铁矿,20,M100,3x3,精炼-蓝铁矿,是
C247,仓库出矿口,,,蓝铁矿,20,M101,3x3,精炼-蓝铁矿,是
C248,仓库出矿口,,,蓝铁矿,20,M102,3x3,精炼-蓝铁矿,是
C249,M018,3x3,粉碎-蓝铁块,蓝铁粉末,20,M120,6x4,研磨-致密蓝铁,是
C250,M019,3x3,粉碎-蓝铁块,蓝铁粉末,20,M121,6x4,研磨-致密蓝铁,是
C251,M020,3x3,粉碎-蓝铁块,蓝铁粉末,20,M122,6x4,研磨-致密蓝铁,是
C252,M021,3x3,粉碎-蓝铁块,蓝铁粉末,20,M123,6x4,研磨-致密蓝铁,是
C253,M022,3x3,粉碎-蓝铁块,蓝铁粉末,20,M124,6x4,研磨-致密蓝铁,是
C254,M023,3x3,粉碎-蓝铁块,蓝铁粉末,20,M125,6x4,研磨-致密蓝铁,是
C255,M024,3x3,粉碎-蓝铁块,蓝铁粉末,20,M126,6x4,研磨-致密蓝铁,是
C256,M025,3x3,粉碎-蓝铁块,蓝铁粉末,20,M127,6x4,研磨-致密蓝铁,是
C257,M026,3x3,粉碎-蓝铁块,蓝铁粉末,20,M128,6x4,研磨-致密蓝铁,是
C258,M027,3x3,粉碎-蓝铁块,蓝铁粉末,20,M129,6x4,研磨-致密蓝铁,是
C259,M028,3x3,粉碎-蓝铁块,蓝铁粉末,20,M130,6x4,研磨-致密蓝铁,是
C260,M029,3x3,粉碎-蓝铁块,蓝铁粉末,20,M131,6x4,研磨-致密蓝铁,是
C261,M030,3x3,粉碎-蓝铁块,蓝铁粉末,20,M132,6x4,研磨-致密蓝铁,是
C262,M031,3x3,粉碎-蓝铁块,蓝铁粉末,20,M133,6x4,研磨-致密蓝铁,是
C263,M032,3x3,粉碎-蓝铁块,蓝铁粉末,20,M134,6x4,研磨-致密蓝铁,是
C264,M033,3x3,粉碎-蓝铁块,蓝铁粉末,20,M135,6x4,研磨-致密蓝铁,是
C265,M034,3x3,粉碎-蓝铁块,蓝铁粉末,20,M136,6x4,研磨-致密蓝铁,是
C266,M035,3x3,粉碎-蓝铁块,蓝铁粉末,20,M136,6x4,研磨-致密蓝铁,是
C267,M036,3x3,粉碎-蓝铁块,蓝铁粉末,20,M135,6x4,研磨-致密蓝铁,是
C268,M037,3x3,粉碎-蓝铁块,蓝铁粉末,20,M134,6x4,研磨-致密蓝铁,是
C269,M038,3x3,粉碎-蓝铁块,蓝铁粉末,20,M133,6x4,研磨-致密蓝铁,是
C270,M039,3x3,粉碎-蓝铁块,蓝铁粉末,20,M132,6x4,研磨-致密蓝铁,是
C271,M040,3x3,粉碎-蓝铁块,蓝铁粉末,20,M131,6x4,研磨-致密蓝铁,是
C272,M041,3x3,粉碎-蓝铁块,蓝铁粉末,20,M130,6x4,研磨-致密蓝铁,是
C273,M042,3x3,粉碎-蓝铁块,蓝铁粉末,20,M129,6x4,研磨-致密蓝铁,是
C274,M043,3x3,粉碎-蓝铁块,蓝铁粉末,20,M128,6x4,研磨-致密蓝铁,是
C275,M044,3x3,粉碎-蓝铁块,蓝铁粉末,20,M127,6x4,研磨-致密蓝铁,是
C276,M045,3x3,粉碎-蓝铁块,蓝铁粉末,20,M126,6x4,研磨-致密蓝铁,是
C277,M046,3x3,粉碎-蓝铁块,蓝铁粉末,20,M125,6x4,研磨-致密蓝铁,是
C278,M047,3x3,粉碎-蓝铁块,蓝铁粉末,20,M124,6x4,研磨-致密蓝铁,是
C279,M048,3x3,粉碎-蓝铁块,蓝铁粉末,20,M123,6x4,研磨-致密蓝铁,是
C280,M049,3x3,粉碎-蓝铁块,蓝铁粉末,20,M122,6x4,研磨-致密蓝铁,是
C281,M050,3x3,粉碎-蓝铁块,蓝铁粉末,20,M121,6x4,研磨-致密蓝铁,是
C282,M051,3x3,粉碎-蓝铁块,蓝铁粉末,20,M120,6x4,研磨-致密蓝铁,是
C283,M158,3x3,配件-钢制零件,钢制零件,20,M213,6x4,封装-电池,是
C284,M159,3x3,配件-钢制零件,钢制零件,20,M214,6x4,封装-电池,是
C285,M160,3x3,配件-钢制零件,钢制零件,20,M215,6x4,封装-电池,是
C286,M161,3x3,配件-钢制零件,钢制零件,20,M215,6x4,封装-电池,是
C287,M162,3x3,配件-钢制零件,钢制零件,20,M214,6x4,封装-电池,是
C288,M163,3x3,配件-钢制零件,钢制零件,20,M213,6x4,封装-电池,是
C289,M103,3x3,精炼-致密蓝铁,钢块,20,M152,3x3,塑形-钢质瓶,是
C290,M104,3x3,精炼-致密蓝铁,钢块,20,M153,3x3,塑形-钢质瓶,是
C291,M105,3x3,精炼-致密蓝铁,钢块,20,M154,3x3,塑形-钢质瓶,是
C292,M106,3x3,精炼-致密蓝铁,钢块,20,M155,3x3,塑形-钢质瓶,是
C293,M107,3x3,精炼-致密蓝铁,钢块,20,M156,3x3,塑形-钢质瓶,是
C294,M108,3x3,精炼-致密蓝铁,钢块,20,M156,3x3,塑形-钢质瓶,是
