机器id,机型,配方,批次每20tick,存货通道数,取货通道数,存货通道速率,取货通道速率,扇出类别
M058,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M059,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M060,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M061,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M062,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M063,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M064,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M065,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M066,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M067,3x3,粉碎-砂叶,20,1,3,砂叶:20,砂叶粉末:20;砂叶粉末:20;砂叶粉末:20,A 满速
M068,3x3,粉碎-砂叶,10,1,3,砂叶:10,砂叶粉末:10;砂叶粉末:10;砂叶粉末:10,C 需推广版
M069,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M070,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M071,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M072,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M073,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M074,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M075,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M076,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M077,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M078,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M079,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M080,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M081,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M082,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M083,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M084,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M085,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M086,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M087,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M088,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M089,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M090,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M091,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M092,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M093,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M094,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M095,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M096,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M097,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M098,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M099,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M100,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M101,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M102,3x3,精炼-蓝铁矿,20,1,1,蓝铁矿:20,蓝铁块:20,单端口
M103,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M104,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M105,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M106,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M107,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M108,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M109,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M110,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M111,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M112,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M113,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M114,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M115,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M116,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M117,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M118,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M119,3x3,精炼-致密蓝铁,20,1,1,致密蓝铁粉末:20,钢块:20,单端口
M120,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M121,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M122,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M123,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M124,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M125,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M126,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M127,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M128,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M129,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M130,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M131,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M132,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M133,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M134,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M135,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M136,6x4,研磨-致密蓝铁,20,3,1,砂叶粉末:20;蓝铁粉末:20;蓝铁粉末:20,致密蓝铁粉末:20,单端口
M137,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M138,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M139,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M140,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M141,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M142,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M143,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M144,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M145,6x4,研磨-致密源石,20,3,1,源石粉末:20;源石粉末:20;砂叶粉末:20,致密源石粉末:20,单端口
M146,6x4,研磨-细磨荞花,20,3,1,砂叶粉末:20;荞花粉末:20;荞花粉末:20,细磨荞花粉末:20,单端口
M147,6x4,研磨-细磨荞花,20,3,1,砂叶粉末:20;荞花粉末:20;荞花粉末:20,细磨荞花粉末:20,单端口
M148,6x4,研磨-细磨荞花,20,3,1,砂叶粉末:20;荞花粉末:20;荞花粉末:20,细磨荞花粉末:20,单端口
M149,6x4,研磨-细磨荞花,20,3,1,砂叶粉末:20;荞花粉末:20;荞花粉末:20,细磨荞花粉末:20,单端口
M150,6x4,研磨-细磨荞花,20,4,1,砂叶粉末:10;砂叶粉末:10;荞花粉末:20;荞花粉末:20,细磨荞花粉末:20,单端口
M151,6x4,研磨-细磨荞花,10,2,1,砂叶粉末:10;荞花粉末:20,细磨荞花粉末:10,单端口
M152,3x3,塑形-钢质瓶,20,2,1,钢块:20;钢块:20,钢质瓶:20,单端口
M153,3x3,塑形-钢质瓶,20,2,1,钢块:20;钢块:20,钢质瓶:20,单端口
M154,3x3,塑形-钢质瓶,20,2,1,钢块:20;钢块:20,钢质瓶:20,单端口
M155,3x3,塑形-钢质瓶,20,2,1,钢块:20;钢块:20,钢质瓶:20,单端口
M156,3x3,塑形-钢质瓶,20,2,1,钢块:20;钢块:20,钢质瓶:20,单端口
M157,3x3,塑形-钢质瓶,10,1,1,钢块:20,钢质瓶:10,单端口
M158,3x3,配件-钢制零件,20,1,1,钢块:20,钢制零件:20,单端口
M159,3x3,配件-钢制零件,20,1,1,钢块:20,钢制零件:20,单端口
M160,3x3,配件-钢制零件,20,1,1,钢块:20,钢制零件:20,单端口
M161,3x3,配件-钢制零件,20,1,1,钢块:20,钢制零件:20,单端口
M162,3x3,配件-钢制零件,20,1,1,钢块:20,钢制零件:20,单端口
M163,3x3,配件-钢制零件,20,1,1,钢块:20,钢制零件:20,单端口
M164,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M165,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M166,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M167,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M168,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M169,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M170,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M171,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M172,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M173,5x5,种植-荞花,20,1,1,荞花种子:20,荞花:20,单端口
M174,5x5,种植-荞花,20,1,2,荞花种子:20,荞花:10;荞花:10,B 原文前提内
M175,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M176,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M177,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M178,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M179,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M180,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M181,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M182,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M183,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M184,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M185,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M186,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M187,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M188,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M189,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M190,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M191,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M192,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M193,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M194,5x5,种植-砂叶,20,1,1,砂叶种子:20,砂叶:20,单端口
M195,5x5,种植-砂叶,20,1,2,砂叶种子:20,砂叶:10;砂叶:10,B 原文前提内
M196,5x5,采种-荞花,20,1,2,荞花:20,荞花种子:20;荞花种子:20,A 满速
M197,5x5,采种-荞花,20,1,2,荞花:20,荞花种子:20;荞花种子:20,A 满速
M198,5x5,采种-荞花,20,1,2,荞花:20,荞花种子:20;荞花种子:20,A 满速
M199,5x5,采种-荞花,20,1,2,荞花:20,荞花种子:20;荞花种子:20,A 满速
M200,5x5,采种-荞花,20,1,2,荞花:20,荞花种子:20;荞花种子:20,A 满速
M201,5x5,采种-荞花,10,1,1,荞花:10,荞花种子:20,单端口
M202,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M203,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M204,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M205,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M206,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M207,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M208,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M209,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M210,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M211,5x5,采种-砂叶,20,1,2,砂叶:20,砂叶种子:20;砂叶种子:20,A 满速
M212,5x5,采种-砂叶,10,1,1,砂叶:10,砂叶种子:20,单端口
M213,6x4,封装-电池,4,5,1,致密源石粉末:20;致密源石粉末:20;致密源石粉末:20;钢制零件:20;钢制零件:20,高容谷地电池:4,单端口
M214,6x4,封装-电池,4,5,1,致密源石粉末:20;致密源石粉末:20;致密源石粉末:20;钢制零件:20;钢制零件:20,高容谷地电池:4,单端口
M215,6x4,封装-电池,4,5,1,致密源石粉末:20;致密源石粉末:20;致密源石粉末:20;钢制零件:20;钢制零件:20,高容谷地电池:4,单端口
M216,6x4,灌装-胶囊,4,4,1,细磨荞花粉末:20;细磨荞花粉末:20;钢质瓶:20;钢质瓶:20,精选荞愈胶囊:4,单端口
M217,6x4,灌装-胶囊,4,4,1,细磨荞花粉末:20;细磨荞花粉末:20;钢质瓶:20;钢质瓶:20,精选荞愈胶囊:4,单端口
M218,6x4,灌装-胶囊,3,4,1,细磨荞花粉末:20;细磨荞花粉末:10;钢质瓶:20;钢质瓶:10,精选荞愈胶囊:3,单端口
